# Simulation with #hosts[10] #e-types[10] #events[500] #executions[20]
0,1,0,0,0,0,0,0,0,0 e0
0,0,1,0,0,0,0,0,0,0 e9
0,0,0,0,1,0,0,0,0,0 e8
0,0,0,0,0,0,0,0,0,1 e1
0,0,0,0,0,0,0,0,1,0 e0
0,0,0,0,0,0,0,0,2,0 e8
0,0,0,0,0,1,0,0,0,0 e1
0,2,0,0,0,0,0,0,0,0 e8
0,3,0,0,0,0,0,0,0,0 e6
0,0,0,1,0,0,0,0,0,0 e3
0,0,0,0,0,0,0,1,0,0 e9
0,0,0,0,0,0,0,2,0,0 e2
0,0,0,0,0,0,0,0,0,2 e2
0,0,0,0,0,0,0,3,0,0 e5
0,0,0,0,2,0,0,0,0,0 e9
1,0,0,0,0,0,0,0,0,0 e9
0,4,0,0,0,0,0,0,0,0 e0
0,0,0,0,0,0,0,0,3,0 e8
0,0,0,0,3,0,0,0,0,0 e0
0,0,0,0,0,2,0,0,0,0 e9
0,2,0,0,0,0,1,0,0,0 e8
0,5,0,0,0,0,0,0,0,0 e8
0,0,2,0,0,0,0,3,0,0 e3
0,0,0,0,0,0,0,4,0,0 e0
2,0,0,0,0,0,0,0,0,0 e7
0,0,0,0,0,0,0,0,0,3 e3
0,0,0,0,0,0,0,0,4,0 e7
0,0,0,0,0,0,0,0,0,4 e1
0,0,0,0,0,0,0,0,5,0 e9
0,2,0,0,0,0,2,0,0,0 e7
0,0,3,0,0,0,0,3,0,0 e9
0,0,0,0,0,0,0,0,6,0 e2
3,0,0,0,0,0,0,0,0,0 e8
0,2,0,0,0,0,3,0,0,0 e8
0,0,0,0,0,0,0,5,0,0 e4
0,0,0,2,0,0,0,0,0,0 e1
0,0,0,0,4,0,0,0,0,0 e8
0,0,4,0,0,0,0,3,0,0 e9
0,0,0,0,5,0,0,0,0,0 e5
0,0,0,3,0,0,0,0,0,0 e5
0,0,5,0,0,0,0,3,0,0 e2
0,6,0,0,0,0,0,0,0,0 e0
3,0,0,0,0,0,0,0,0,5 e3
0,0,0,0,0,3,0,0,0,0 e7
0,0,0,0,0,0,0,6,0,0 e0
4,0,0,0,0,0,0,0,0,0 e1
0,0,0,0,0,0,0,0,7,0 e5
